IN0004,Einführung in die Rechnerarchitektur ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,05.04.2023,10:15  ,11:00
IN0004,Einführung in die Rechnerarchitektur ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,05.04.2023,11:00  ,13:00
IN0004,Einführung in die Rechnerarchitektur ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,05.04.2023,13:00  ,13:30
IN0004,Einführung in die Rechnerarchitektur ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",05.04.2023,10:15  ,11:00
IN0004,Einführung in die Rechnerarchitektur ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",05.04.2023,11:00  ,13:00
IN0004,Einführung in die Rechnerarchitektur ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",05.04.2023,13:00  ,13:30
IN0004,Einführung in die Rechnerarchitektur ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",05.04.2023,10:15  ,11:00
IN0004,Einführung in die Rechnerarchitektur ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",05.04.2023,11:00  ,13:00
IN0004,Einführung in die Rechnerarchitektur ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",05.04.2023,13:00  ,13:30
IN2258,Middleware und verteilte Systeme ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",14.04.2023,10:45  ,11:30
