MA3411,Zeitreihenanalyse ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"BC2 3.5.06, Hörsaal (8102.03.506) ",14.04.2023,10:45  ,11:30
MA3411,Zeitreihenanalyse ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,geplant,"BC2 3.5.06, Hörsaal (8102.03.506) ",14.04.2023,11:30  ,13:00
MA3411,Zeitreihenanalyse ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,geplant,"BC2 3.5.06, Hörsaal (8102.03.506) ",14.04.2023,13:00  ,13:30
MA9602,Einführung in die Statistik ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"131, Speisesaal 2 (Mensa 2, Seminarraum) (4216.01.131) ",13.02.2023,15:45  ,16:30
MA9602,Einführung in die Statistik ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,geplant,"131, Speisesaal 2 (Mensa 2, Seminarraum) (4216.01.131) ",13.02.2023,16:30  ,17:30
MA9602,Einführung in die Statistik ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,geplant,"131, Speisesaal 2 (Mensa 2, Seminarraum) (4216.01.131) ",13.02.2023,17:30  ,18:00
MA9602,Einführung in die Statistik ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"129, Speisesaal 3 (Mensa 3, Seminarraum) (4216.01.129) ",13.02.2023,15:45  ,16:30
MA9602,Einführung in die Statistik ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,geplant,"129, Speisesaal 3 (Mensa 3, Seminarraum) (4216.01.129) ",13.02.2023,16:30  ,17:30
MA9602,Einführung in die Statistik ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,geplant,"129, Speisesaal 3 (Mensa 3, Seminarraum) (4216.01.129) ",13.02.2023,17:30  ,18:00
MA9615,Höhere Mathematik ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"HO10, Hörsaal 16 Carl-Kronacher-Hörsaal (WZWH16) (4214.EG.010) ",16.02.2023,15:45  ,16:30
MA9615,Höhere Mathematik ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,geplant,"HO10, Hörsaal 16 Carl-Kronacher-Hörsaal (WZWH16) (4214.EG.010) ",16.02.2023,16:30  ,18:30
MA9615,Höhere Mathematik ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,geplant,"HO10, Hörsaal 16 Carl-Kronacher-Hörsaal (WZWH16) (4214.EG.010) ",16.02.2023,18:30  ,19:00
MA9615,Höhere Mathematik ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"HU34, Seminarraum 3 (WZWS03) (4214.U1.034) ",16.02.2023,15:45  ,16:30
MA9615,Höhere Mathematik ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,geplant,"HU34, Seminarraum 3 (WZWS03) (4214.U1.034) ",16.02.2023,16:30  ,18:30
MA9615,Höhere Mathematik ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,geplant,"HU34, Seminarraum 3 (WZWS03) (4214.U1.034) ",16.02.2023,18:30  ,19:00
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,14.02.2023,13:30  ,14:15
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,14.02.2023,14:15  ,15:45
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,14.02.2023,15:45  ,16:15
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",14.02.2023,13:30  ,14:15
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",14.02.2023,14:15  ,15:45
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",14.02.2023,15:45  ,16:15
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",14.02.2023,13:30  ,14:15
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",14.02.2023,14:15  ,15:45
