IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,Hörsaal im Galileo nur Mo-Do 7-19 Uhr (8120.EG.001) ,01.08.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,Hörsaal im Galileo nur Mo-Do 7-19 Uhr (8120.EG.001) ,01.08.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,Hörsaal im Galileo nur Mo-Do 7-19 Uhr (8120.EG.001) ,01.08.2023,12:30  ,13:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"1200, Carl-von-Linde-Hörsaal (0502.01.200) ",01.08.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"1200, Carl-von-Linde-Hörsaal (0502.01.200) ",01.08.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"1200, Carl-von-Linde-Hörsaal (0502.01.200) ",01.08.2023,12:30  ,13:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"2300, Friedrich von Thiersch Hörsaal (0503.02.300) ",01.08.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"2300, Friedrich von Thiersch Hörsaal (0503.02.300) ",01.08.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"2300, Friedrich von Thiersch Hörsaal (0503.02.300) ",01.08.2023,12:30  ,13:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"CH 21010, Hans-Fischer-Hörsaal (5401.01.101K) ",01.08.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"CH 21010, Hans-Fischer-Hörsaal (5401.01.101K) ",01.08.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"CH 21010, Hans-Fischer-Hörsaal (5401.01.101K) ",01.08.2023,12:30  ,13:00
