MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",04.08.2023,13:00  ,13:30
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Prüfungstermin,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",04.08.2023,13:30  ,15:00
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Nachbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",04.08.2023,15:00  ,15:30
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Aufbau u. Vorbereitung,Modulprüfung,fix,"1200, Carl-von-Linde-Hörsaal (0502.01.200) ",04.08.2023,13:00  ,13:30
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Prüfungstermin,Modulprüfung,fix,"1200, Carl-von-Linde-Hörsaal (0502.01.200) ",04.08.2023,13:30  ,15:00
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Nachbereitung,Modulprüfung,fix,"1200, Carl-von-Linde-Hörsaal (0502.01.200) ",04.08.2023,15:00  ,15:30
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Aufbau u. Vorbereitung,Modulprüfung,fix,"N 1190, Hans-Heinrich-Meinke-Hörsaal (0101.02.190) ",04.08.2023,13:00  ,13:30
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Prüfungstermin,Modulprüfung,fix,"N 1190, Hans-Heinrich-Meinke-Hörsaal (0101.02.190) ",04.08.2023,13:30  ,15:00
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Nachbereitung,Modulprüfung,fix,"N 1190, Hans-Heinrich-Meinke-Hörsaal (0101.02.190) ",04.08.2023,15:00  ,15:30
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Aufbau u. Vorbereitung,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",04.08.2023,13:00  ,13:30
